2025-01-15 10:12:33 INFO User login successful | user=admin | ip=192.168.1.10
2025-01-15 10:13:01 WARNING Failed login attempt | user=admin | ip=192.168.1.10
2025-01-15 10:13:10 WARNING Failed login attempt | user=admin | ip=192.168.1.10
2025-01-15 10:13:20 WARNING Failed login attempt | user=admin | ip=192.168.1.10
2025-01-15 10:14:05 INFO User login successful | user=john | ip=192.168.1.15
2025-01-15 10:15:42 WARNING Failed login attempt | user=unknown | ip=203.0.113.45
2025-01-15 10:15:55 WARNING Failed login attempt | user=unknown | ip=203.0.113.45
2025-01-15 10:16:10 WARNING Failed login attempt | user=unknown | ip=203.0.113.45
2025-01-15 10:16:25 WARNING Failed login attempt | user=unknown | ip=203.0.113.45
2025-01-15 10:17:02 ERROR Unauthorized access attempt | user=guest | ip=198.51.100.23
2025-01-15 10:18:45 INFO User logout | user=admin | ip=192.168.1.10
